,original_title,overview,region_final,release_date,genre_final,cast_final,director
1432,Hot Pursuit,An uptight by-the-book cop must protect the widow of a drug boss from crooked cops and gunmen.,United States of America,2015-05-08,Action,"['Cooper', 'Daniella', 'Dixon', 'Captain Emmett', 'Det Jackson', 'Dealer', 'Randy', 'Hauser', 'Steve', 'Rookie', 'Cooper Teen', 'Detective Hauser', 'Woman Shopper', 'Marisol', 'Cooper Girl', 'Casino Guest (uncredited)', 'Jesus', 'Angel', 'Vicente Cortez', 'Red', 'Felipe Riva', 'Wayne', 'Teresa Cortez', 'Lou', 'DJ', 'Pudgy Guy', 'State Trooper', 'News Reporter', 'News Reporter', 'Catering Supervisor', 'Guy in Bar', 'Dispatch Operator', 'Bodyguard', 'Brenda', 'Busrider', 'Damas Dancer #1', 'Damas Dancer #2', 'Damas Dancer #3', 'Damas Dancer #4', 'Damas Dancer #4', 'Choreographer', 'Drunk Santa', 'Prostitute', ""Cooper's Prom Date"", 'Bouncer', 'Angry Mom', 'Special Agent', 'Special Agent', 'Older Native American Man', 'Quincineara Guest', 'Trucker', 'Waitress', 'Trick or Treater', 'Casino Patron', 'Dama', 'Officer Gannon', 'Federal Officer', 'Federal Office Worker', 'Jaywalker', 'Bus Passenger', 'Bachelorette', 'Teenage Girl', 'Texan Driver', 'State Trooper', 'Police Officer', 'Courthouse Mob Protester', 'Payphone Passerby', 'Casino Patron', 'Line Cook', 'Casino Cocktail Waitress', 'Prom Goer', 'Quinceañera Guest', 'Casino Patron', 'Pedestrian', 'Casino Patron / Roadblock Driver', 'Head Cook', 'Chamberlain', 'Dama', 'Five and Dime Patron', 'Quinceanera Patron', 'State Trooper', 'Party Guest', 'Halloween Princess', 'Waitress', 'Driver', 'Sam', 'Bus Passenger', 'Driver / Wedding Guest', 'Pedestrian', 'Detective', 'Bar Patron #2', 'Bar Patron', 'Driver', 'Quinceañera Guest / Cocktail Waitress', 'Chef', 'Cortez Gang', 'Quincenera Guest', 'Teenage Boy', 'Sheriff Deputy / Pedestrian with Car', 'News Reporter', 'State Trooper', 'Horny Teenage Cashier', 'Police Officer', 'Police Officer', 'Prisoner', 'Biker / Bar Patron / Cop', 'Police Officer', 'Cortez Gang', 'Federal Agent', 'Casino Patron', 'Attorney', ""Sofia's Friend"", 'Quinceañera Guest', 'Cortez Gang']",
1433,The Four Feathers,"The story, set in 1875, follows a British officer (Heath Ledger) who resigns his post when he learns of his regiment's plan to ship out to the Sudan for the conflict with the Mahdi. His friends and fiancée send him four white feathers which symbolize cowardice. To redeem his honor he disguises himself as an Arab and secretly saves the lives of those who branded him a coward.",United Kingdom,2002-09-08,War,"['Harry Faversham', 'Jack Durrance', 'Ethne', 'Abou Fatma', 'Trench', 'Castleton', 'Sudanese Storyteller', 'Dervish Ansar', 'Gustave', 'Col. Sutch', 'Colonel Other Regiment', 'Aunt Mary', 'Egyptian Orderly', 'Isabelle', 'Millie', 'Drunken Corporal', 'British Lion', 'Colonel Hamilton', 'Woman in Red Veil', 'Saadi', 'Wounded Captain', 'Dervish Captain', 'British Corporal', 'Youssef', 'Dervish Sniper', 'Mullah', 'Dinka Slavegirl', 'Gentle Faced Porter', 'Hassan', 'Impressario', 'Tom Willoughby', 'General Feversham', 'Ibrahim', 'Maya', 'Regimental Priest', 'Dinka Slavegirl', 'William Trench', 'Egyptian Orderly', 'Aquol', 'Egyptian Orderly', 'British Soldier', 'British Soldier', 'Drummer Boy', 'British Cavalry Officer', 'British Cavalry Officer', 'High Class Lady', 'British Troop', 'Crying Widow', ""General Wolseley's Aide-de-Camp""]",
1434,Parker,"A thief with a unique code of professional ethics is double-crossed by his crew and left for dead. Assuming a new disguise and forming an unlikely alliance with a woman on the inside, he looks to hijack the score of the crew's latest heist.",United States of America,2013-01-23,Action,"['Parker', 'Leslie', 'Hurley', 'Melander', 'Ross', 'Ernesto', 'Norte', 'Carlson', 'Claire', 'Kroll', 'Ascension', 'Jake Fernandez', 'James', 'August Hardwicke', 'Jack', 'Ohio State Fair Security Guard Ben', 'Ohio State Fair Accounts Manager', 'Ohio State Fair Mother', 'Oliver', 'Bobby Hardwicke', 'Bonnie', 'Amber', 'Jen Hurley', 'Hospital Patient Quinn', 'Danzinger', ""Norte's Office Bad Guy #1"", ""Norte's Office Bad Guy #2"", ""Norte's Office Bad Guy #3"", 'Assistant to Mrs. Fritz', 'Phyllis Summers', 'Bouncer']",
1435,Wimbledon,"A pro tennis player has lost his ambition and has fallen in rank to 119. Fortunately for him, he meets a young player on the women's circuit who helps him recapture his focus for Wimbledon.",France,2004-09-13,Comedy,"['Lizzie Bradbury', 'Peter Colt', 'Dennis Bradbury', 'Carl Colt', 'Edward Colt', 'Jake Hammond', 'Ron Roth', 'Dieter Prohl', 'Lydice Kenwood', 'Himself']",
1436,Furry Vengeance,"When real estate developer Dan Sanders finalizes plans to level a swath of pristine Oregon forest to make way for a soulless housing subdivision, a band of woodland creatures rises up to throw a monkey wrench into the greedy scheme. Just how much mischief from the furry critters can the businessman take before he calls it quits?",United Arab Emirates,2010-04-02,Comedy,"['Dan Sanders', 'Neal Lyman', 'Tammy Sanders', 'Felder', 'Riggs', 'Tyler Sanders', 'Amber', 'Mrs. Martin', 'Frank', 'Cheese', 'Gus', 'Hank', 'Drill Sergeant', 'Principal Baker', 'Wilson', 'Mr. Gupta']",
1437,Bait,A freak tsunami traps shoppers at a coastal Australian supermarket inside the building ... along with a 12-foot great white shark.,Singapore,2012-09-05,Action,"['Tina', 'Jaimie', 'Doyle', 'Josh', 'Heather', 'Ryan', 'Kyle', 'Naomi', 'Steven', 'Rory', 'Lockie', 'Kirby', 'Colins', 'Jessup', 'Todd', 'Lifeguard', 'Oceania Store Owner']",
1438,Krull,A prince and a fellowship of companions set out to rescue his bride from a fortress of alien invaders who have arrived on their home planet.,Spain,1983-07-29,Fantasy,"['Prince Colwyn', 'Princess Lyssa', 'Lyssa, Widow of the Web', 'Torquil', 'Ergo', 'Rell the Cyclops', 'Kegan', 'The Seer', 'Titch', 'Turold', 'Eirig', 'Vella', 'Ynyr', 'Rhun', 'Oswyn', 'Bardolph', 'Nennog', 'Darro', 'Quain', 'Menno', 'White Slayer with Tiger', 'The Beast (voice)', 'Slayer in the Swamp', 'Slayer in the Swamp', 'Sword Fighter']",
1439,Lions for Lambs,"Three stories told simultaneous in ninety minutes of real time: a Republican Senator who's a presidential hopeful gives an hour-long interview to a skeptical television reporter, detailing a strategy for victory in Afghanistan; two special forces ambushed on an Afghani ridge await rescue as Taliban forces close in; a poli-sci professor at a California college invites a student to re-engage.",United States of America,2007-10-22,Action,"['Dr. Stephen Malley', 'Janine Roth', 'Senator Jasper Irving', 'Ernest', 'Todd Hayes', 'Wirey Pink', 'Arian', 'Today Show Host']",
1440,Flight of the Intruder,"U.S. Navy pilot Lt. Jake Grafton and his bombardier buddy, Lt. Cmdr. Virgil Cole, are two soldiers embedded in the Vietnam War growing frustrated by the military's constraints on their missions. Despite the best efforts of their commanding officer, Cmdr. Frank Camparelli, to re-engage them, this disillusioned pair decide to take the war effort into their own hands with an explosive battle plan that could well get them court-martialed.",United States of America,1991-01-18,Action,"[""Cmdr. Frank 'Dooke' Camparelli"", ""Lt. Cmdr. Virgil 'Tiger' Cole"", ""Lt. Jake 'Cool Hand' Grafton"", 'Callie Joy', 'Boxman']",
1441,Walk Hard: The Dewey Cox Story,Singer Dewey Cox overcomes adversity to become a musical legend.,United States of America,2007-12-21,Comedy,"['Dewey Cox', 'Darlene Madison', 'Sam', 'Edith', 'Pa Cox', ""L'Chai'm"", 'Ma Cox', 'Theo', 'Dave', 'Schwartzberg', 'Elvis', 'himself', 'herself', 'himself', 'himself', 'himself', 'Paul McCartney', 'George Harrison', 'John Lennon', 'Ringo Starr', 'Nate Cox', 'Herself', 'Herself', 'Herself', 'Bobby Shad', 'Schmendrick', 'DJ', 'Buddy Holly', 'Stage Manager', 'The Maharishi', 'Gail the Television Reporter', ""Dreidel L'Chaim"", 'Older Nate', 'Teen with Pinups', 'Record Producer', 'Preacher', 'Reefer Girl', 'Dewdrop', 'LSD Vision']",
1442,The Shipping News,An emotionally-beaten man with his young daughter moves to his ancestral home in Newfoundland to reclaim his life.,United States of America,2001-12-18,Drama,"['Quoyle', 'Wavey Prowse', 'Petal', 'Agnis Hamm', 'Tert Card', 'Jack Buggit', 'Beaufield Nutbeem', 'Billy Pretty', 'Dennis Buggit', 'Grace Moosup', 'Bayonet Melville', 'Silver Melville']",
1443,American Outlaws,"When a Midwest town learns that a corrupt railroad baron has captured the deeds to their homesteads without their knowledge, a group of young ranchers join forces to take back what is rightfully theirs. They will become the object of the biggest manhunt in the history of the Old West and, as their fame grows, so will the legend of their leader, a young outlaw by the name of Jessie James.",United States of America,2001-08-17,Action,"['Jesse James', 'Cole Younger', ""Zerelda 'Zee' Mimms"", 'Frank James', 'Jim Younger', 'Ma James', 'Allan Pinkerton', 'Thaddeus Rains, President Rock Northern Rail Road', 'Bob Younger', ""Doc Mimms, Zee's Dad"", ""Rollin H. Parker - Rains' Gopher"", 'Comanche Tom', 'Clell Miller', 'Loni Packwood', 'Captain Malcolm']",
1444,The Young Victoria,"From Academy Award® winners Graham King and Martin Scorsese, along with the makers of Gosford Park and The Departed, comes the story of Queen Victoria’s early rise to power. From an object of a royal power-struggle to her romantic courtship and legendary marriage to Prince Albert, Emily Blunt (The Devil Wears Prada) gives a stunning performance as the young Victoria. Packed with drama, romance, breath-taking cinematography, lavish costumes and featuring an outstanding British cast including Jim Broadbent, Harriet Walter, Mark Strong, Paul Bettany, Miranda Richardson, and Rupert Friend, The Young Victoria has captivated British audiences, and is the film that Company magazine called “an epic British film, which will sweep you up in her remarkable story.”",United Kingdom,2009-03-04,Drama,"['Queen Victoria', 'King William', 'Sir John Conroy', 'Lord Melbourne', 'Duchess of Kent', 'Prince Albert', 'Baroness Lehzen', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",
1445,Whiteout,"The only U.S. Marshal assigned to Antarctica, Carrie Stetko will soon leave the harsh environment behind for good – in three days, the sun will set and the Amundsen-Scott Research Station will shut down for the long winter. When a body is discovered out on the open ice, Carrie's investigation into the continent's first homicide plunges her deep into a mystery that may cost her her own life.",Canada,2009-09-09,Action,"['Carrie Stetko', 'Robert Pryce', 'Dr. John Fury', 'Delfy', 'Sam Murphy', 'Russell Haden', 'Jack', 'Rubin', 'McGuire', 'Rhonda', 'Russian Pilot', 'Russian Co-pilot', 'Russian Guard', 'Russian Guard', 'Russian Guard', 'Mooney', 'Lab Tech']",
1446,The Tree of Life,"The impressionistic story of a Texas family in the 1950s. The film follows the life journey of the eldest son, Jack, through the innocence of childhood to his disillusioned adult years as he tries to reconcile a complicated relationship with his father. Jack finds himself a lost soul in the modern world, seeking answers to the origins and meaning of life while questioning the existence of faith.",United States of America,2011-05-18,Drama,"[""Mr. O'Brien"", 'Jack', ""Mrs. O'Brien"", 'Young Jack', 'Aged 5 Jack', 'Aged 2 Jack', ""R.L. O'Brien"", 'Steve', ""Jack's ex"", ""Jack's Wife"", 'Mr. Brown', 'Mrs. Brown', 'Uncle Roy', 'Grandmother', 'Elisa', 'Mrs. Stone', 'George Walsh', 'R.L. (age 2)']",
1447,Knock Off,"Marcus Ray (Jean-Claude Van Damme), a sales representative for ""V SIX"" jeans, and his partner, Tommy Hendricks (Rob Schneider), are about to be busted for selling ""knock off"" jeans. Their American contact, Karan Leigh, who by the way is not only their employer but a CIA agent sent to find the mole in their operation, is threatening them with a jail term if they do not prove their innocence.",Aruba,1998-09-04,Action,"['Marcus Ray', 'Karen Lee', 'Harry Johanson', 'Tommy Hendricks', 'Bear', 'Chip']",
1448,Sabotage,"In ""Sabotage"", Arnold Schwarzenegger leads an elite DEA task force that takes on the world's deadliest drug cartels. When the team successfully executes a high-stakes raid on a cartel safe house, they think their work is done - until, one-by-one, the team members mysteriously start to be eliminated. As the body count rises, everyone is a suspect.",United States of America,2014-03-28,Action,"[""John 'Breacher' Wharton"", ""James 'Monster' Murray"", 'Lizzy Murray', ""Joe 'Grinder' Phillips"", 'Jackson', ""Eddie 'Neck' Jordan"", ""Julius 'Sugar' Edmonds"", 'Investigator Caroline Brentwood', ""Tom 'Pyro' Roberts"", ""Bryce 'Tripod' McNeely"", ""'Smoke' Jennings"", 'Sapo', 'Dubai Money Launderer', 'Floyd Demel', 'ASAC Phelps', 'DEA Sniper', 'Stan Morris (DEA Interrogator)', 'Lou Cantrell (DEA Interrogator)', 'DEA Agent', 'DEA Agent', 'DEA Agent', 'Agent Spolcheck', 'Stripclub Waitress', 'Stripclub Bouncer', 'Captain Walther', 'Deputy Hayes', 'Deputy Richards', 'Coroner', ""Coroner's Assistant"", 'Forensic Technician', 'General Counsel', 'Mexican Federal Shooter', 'Karen Wharton', 'Jacob Wharton', 'Apartment Hitman', 'Apartment Hitman', 'Apartment Hitman', 'Apartment Hitman', 'Apartment Hitman', 'Apartment Hitman', 'Latina Hostage', 'Redneck', 'Redneck', 'Brujo', 'APD Officer', 'Hostage in Monte Carlo', 'Car Crash Driver', 'Cop', 'Mexican Commandante', ""Brujo's Bar Girl"", 'Pretty Bar Girl', 'Sicario', ""Brujo's Female Sicario"", ""Brujo's Sicario"", ""Brujo's Sicario"", ""Brujo's Sicario"", ""Brujo's Sicario""]",
1449,The Order,"For centuries, a secret Order of priests has existed within the Church. A renegade priest, Father Alex Bernier, is sent to Rome to investigate the mysterious death of one of the Order's most revered members. Following a series of strangely similar killings, Bernier launches an investigation that forces him to confront unimaginable evil.",Germany,2003-09-05,Drama,"['Alex Bernier', 'Mara Sinclair', 'William Eden', 'Thomas Garrett', 'Driscoll', 'Dominic', 'Apathetic Bishop', 'Sister Marie', 'Little Girl', 'Little Boy']",
1450,Punisher: War Zone,"Waging his one-man war on the world of organized crime, ruthless vigilante-hero Frank Castle sets his sights on overeager mob boss Billy Russoti. After Russoti is left horribly disfigured by Castle, he sets out for vengeance under his new alias: Jigsaw. With the ""Punisher Task Force"" hot on his trail and the FBI unable to take Jigsaw in, Frank must stand up to the formidable army that Jigsaw has recruited before more of his evil deeds go unpunished.",Canada,2008-12-05,Action,"['Frank Castle / The Punisher', 'Billy Russoti / Jigsaw', 'Angela Donatelli', 'Paul Budiansky', 'Loony Bin Jim', 'Martin Soap', 'Micro', 'Grace Donatelli', 'Pittsy', 'Nicky', 'Ink', 'Agent Miller', 'Captain Ross', 'Saffiotti', 'Maginty', 'Carlos', 'Cristu Bulat']",
1451,Zoom,"Jack Shepard is an out-of-shape auto shop owner, far removed from the man who once protected the world's freedom. Reluctantly called back into action by the government, Jack is tasked with turning a rag tag group of kids with special powers into a new generation of superheroes to save the world from certain destruction. Based on Jason Lethcoe's graphic novel ""Zoom's Academy for the Super Gifted"".",United States of America,2006-08-11,Family,"['Jack Sheppard', 'Marsha Holloway', 'Dr. Grant', 'Tucker Willams / Mega-Boy', 'Connor Shepard / Concussion', 'Summer Jones / Wonder', 'Dylan West / Houdini', 'Cindy Collins / Princess', 'Larraby', ""Cindy's Mom"", 'Halloween Bully', 'Prince', ""Dylan's Teacher"", 'Mean Bully', 'Meaner Bully']",
1452,The Walk,The story of French high-wire artist Philippe Petit's attempt to cross the Twin Towers of the World Trade Center in 1974.,United States of America,2015-09-30,Adventure,"['Philippe Petit', 'Papa Rudy', 'Annie Allix', 'Albert', 'J.P.', 'Barry Greenhouse', 'Guy Tozolli', 'Officer Genco', 'Jean-Louis', 'Man with Plaid Sports Coat', 'Parisian Flower Child', 'David', 'Officer Daley', 'Texas Tourist', 'Earbud Guy', 'Clemenza', 'Outdoor Café Man', 'Outdoor Café Woman (as Emilie Leclerc)', 'American Tourist', 'Woman in Chalk Circle', 'Boy in Chalk Circle', 'Gendarme', 'Gendarme', 'Young Girl with Candy', 'Dental Office Receptionist', 'Dental Patient', 'Dental Patient', 'Dental Patient', 'Boy Petit', 'Circus High Wire Performer', ""Petit's Father"", ""Petit's Mother"", 'Texan Tourist Woman', 'Fisherman', 'Fisherman', 'Fisherman', 'Fisherman', 'Portly Photographer (as Vlado Stokanic)', 'Notre Dame Police Officer', 'Notre Dame Police Officer', 'WTC Construction Worker (as Guido Grasso)', 'Jeff / Jean-François', 'US Customs Agent', 'WTC Architect', 'Port Authority Officer', 'WTC Lobby Guard', ""WTC Visitor's Concierge"", 'Officer Foley', 'Dock Foreman', 'Elevator Operator', 'WTC Rooftop Guard', 'Mysterious Visitor', ""Sgt. O'Donnell"", 'Officer Tessio', 'Officer Washington (as Darrell Izeard)', 'Officer Hagan', 'Bearded Man', 'Officer Sollozzo', 'Engineer Cop', 'Construction Worker with Blow Torch', 'Officer Cicci', 'News Reporter', 'News Reporter', 'News Reporter', 'News Reporter']",
1453,Warriors of Virtue,"A young man, Ryan, suffering from a disability, wishes to join the other kids from his schools football team. During an initiation rite, Ryan is swept away through a whirlpool to the land of Tao. There he is hunted by the evil Lord Komodo, who desires the boy as a key to enter the real world. Ryan is rescued by the protectors of Tao, five humanoid kangaroos, each embued with the five elements and virtues. Ryan learns his valuable lesson while saving the land of Tao.",China,1997-05-02,Fantasy,"['Komodo', 'Ryan Jeffers', 'Elysia', 'Master Chung (as Chao-Li Chi)']",
